도매요금구분(가스공사),소매요금구분,판매단가A(2024.07.01),판매단가B(2024.08.01),판매단가 증감(B-A),비고
주택난방용,취사용,21.0984,22.5084,1.41,
주택난방용,주택난방,21.0984,22.5084,1.41,
업무난방용,업무난방,23.6543,24.2965,0.6422,
일반용,영업용1,20.9623,22.2635,1.3012,
일반용,영업용2,19.7054,21.0066,1.3012,
냉난방공조용,"냉방용 동절기(1~3,12월)",23.1694,23.8116,0.6422,
냉난방공조용,냉방용 하절기(5~9월),13.9572,14.4389,0.4817,
냉난방공조용,"냉방용 기타월(4,10,11월)",22.0322,22.6744,0.6422,
산업용,산업용,20.1377,21.1822,1.0445,
산업용,수소제조용,19.5232,20.5679,1.0447,
산업용,사회복지시설,20.1377,21.1822,1.0445,
수송용,직영충전소,23.766,24.4082,0.6422,
수송용,최대부하,24.1854,24.8276,0.6422,
수송용,중간부하,23.8592,24.5014,0.6422,
수송용,경부하,23.6262,24.2684,0.6422,
수송용,자영충전소,19.7991,20.4413,0.6422,
수송용,차량충전 수소제조,15.0808,15.5626,0.4818,
열병합용,공통주택 등 열병합,21.3219,22.1018,0.7799,
열병합용,지역열병합(CHP),21.4847,22.2646,0.7799,
열전용설비용,지역열병합(HOB)(집단에너지 사업허가),24.3294,24.9716,0.6422,
열전용설비용,지역열병합(HOB)(신규/추가분 한함),24.6407,25.2829,0.6422,
열전용설비용,공동주택 열병합,21.0984,22.5084,1.41,
연료전지용,연료전지용,19.4577,20.2923,0.8346,
특별단가(군사시설),취사용,20.3306,21.7406,1.41,개별소비세0.7678원/mj면제('17.12.28.변동)
특별단가(군사시설),난방용,20.3306,21.7406,1.41,개별소비세0.7678원/mj면제('17.12.28.변동)
특별단가(군사시설),업무용,22.8865,23.5287,0.6422,개별소비세0.7678원/mj면제('17.12.28.변동)
특별단가(군사시설),영업용1,20.1945,21.4957,1.3012,개별소비세0.7678원/mj면제('17.12.28.변동)
특별단가(군사시설),"냉난방공조용 동절기(1~3,12월)",22.4016,23.0438,0.6422,개별소비세0.7678원/mj면제('17.12.28.변동)
특별단가(군사시설),냉난방공조용 하절기(5~9월),13.1894,13.6711,0.4817,개별소비세0.7678원/mj면제('17.12.28.변동)
특별단가(군사시설),"냉난방공조용 기타월(4,10,11월)",21.2644,21.9066,0.6422,개별소비세0.7678원/mj면제('17.12.28.변동)
특별단가(군사시설),수송용,22.9982,23.6404,0.6422,개별소비세0.7678원/mj면제('17.12.28.변동)
