도매요금구분(가스공사),소매요금구분,판매단가A(2024.10.01),판매단가B(2024.11.01),판매단가 증감,비고
주택난방용,취사용,963.056517,963.056517,0.0,
주택난방용,주택난방,961.626402,961.626402,0.0,
업무난방용,업무난방,1026.382863,1013.477676,-12.905187000000069,
업무난방용,업무난방(미군시설),916.9598550000001,916.9598550000001,0.0,협정단가
일반용,영업용1,939.9996479999999,939.9996479999999,0.0,
일반용,영업용2,896.801637,896.801637,0.0,
냉난방공조용,"동절기(1~3,12월)",1005.6824819999999,992.7772949999999,-12.905187000000069,
냉난방공조용,하절기(5~9월),610.855479,601.177656,-9.67782299999999,
냉난방공조용,"기타월(4,10,11월)",957.135414,944.2302269999999,-12.905187000000069,
산업용,산 업 용,907.0045469999999,894.09936,-12.905186999999842,
산업용,수소제조용,880.767273,867.874893,-12.892380000000003,
산업용,사회복지시설,907.0045469999999,894.09936,-12.905186999999842,
수송용,직영충전소,1021.3240979999999,1008.4189109999998,-12.905187000000183,
수송용, 최대부하,1039.2282839999998,1026.323097,-12.905186999999842,
수송용, 중간부하,1025.302806,1012.397619,-12.905186999999955,
수송용, 경부하,1015.3560359999999,1002.450849,-12.905186999999955,
수송용,자영충전소,870.6753569999998,857.77017,-12.905186999999842,
수송용,차량충전 수소제조,665.1102,690.6601649999999,25.54996499999993,
열병합용,공동주택 열병합,935.6580749999998,922.7656949999998,-12.892380000000003,
열병합용,공동주택외 열병합,935.6580749999998,922.7656949999998,-12.892380000000003,
열병합용,지역열병합 (집단에너지 사업허가),935.6580749999998,922.7656949999998,-12.892380000000003,
열전용설비용,지역열병합(HOB) (집단에너지 사업허가),1058.460129,1045.554942,-12.905187000000069,
열전용설비용,지역열병합(HOB) ('03.1.1이후 신규(추가)분 한함),1069.2052019999999,1056.300015,-12.905186999999842,
열전용설비용,공동주택 열병합 (열전용보일러),950.8813289999999,950.8813289999999,0.0,
열전용설비용,공동주택외 열병합(열전용보일러),1058.460129,1045.554942,-12.905187000000069,
연료전지용,연료전지용,861.966597,849.0742170000001,-12.89237999999989,
특별단가(군사시설),취사용,930.2791349999999,930.2791349999999,0.0,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),난방용,928.8490199999999,928.8490199999999,0.0,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),업무용,993.605481,980.700294,-12.905187000000069,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),영업용1,907.2222659999998,907.2222659999998,0.0,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),"동절기(1~3,12월)",972.9051,959.9999129999998,-12.905187000000183,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),하절기(5~9월),578.0780970000001,568.400274,-9.677823000000103,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),"기타월(4,10,11월)",924.3580319999999,911.4528449999998,-12.905187000000069,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),수송용,975.6415289999998,975.6415289999998,0.0,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
