도매요금구분(가스공사),소매요금구분,판매단가A(2024.10.01),판매단가B(2024.11.01),판매단가 증감,비고
주택난방용,취사용,22.5593,22.5593,0.0,
주택난방용,주택난방,22.5258,22.5258,0.0,
업무난방용,업무난방,24.042700000000004,23.7404,-0.30230000000000246,
업무난방용,업무난방(미군시설),21.4795,21.4795,0.0,협정단가
일반용,영업용1,22.019199999999998,22.019199999999998,0.0,
일반용,영업용2,21.0073,21.0073,0.0,
냉난방공조용,"동절기(1~3,12월)",23.5578,23.255499999999998,-0.30230000000000246,
냉난방공조용,하절기(5~9월),14.3091,14.0824,-0.226700000000001,
냉난방공조용,"기타월(4,10,11월)",22.4206,22.118299999999998,-0.30230000000000246,
산업용,산 업 용,21.246299999999998,20.944000000000003,-0.30229999999999535,
산업용,수소제조용,20.631700000000002,20.329700000000003,-0.3019999999999996,
산업용,사회복지시설,21.246299999999998,20.944000000000003,-0.30229999999999535,
수송용,직영충전소,23.9242,23.621899999999997,-0.30230000000000246,
수송용, 최대부하,24.343599999999995,24.0413,-0.30229999999999535,
수송용, 중간부하,24.0174,23.7151,-0.3022999999999989,
수송용, 경부하,23.784399999999998,23.4821,-0.3022999999999989,
수송용,자영충전소,20.3953,20.093,-0.3022999999999989,
수송용,차량충전 수소제조,15.58,16.1785,0.5984999999999996,
열병합용,공동주택 열병합,21.917499999999997,21.615499999999997,-0.3019999999999996,
열병합용,공동주택외 열병합,21.917499999999997,21.615499999999997,-0.3019999999999996,
열병합용,지역열병합 (집단에너지 사업허가),21.917499999999997,21.615499999999997,-0.3019999999999996,
열전용설비용,지역열병합(HOB) (집단에너지 사업허가),24.7941,24.4918,-0.3022999999999989,
열전용설비용,지역열병합(HOB) ('03.1.1이후 신규(추가)분 한함),25.0458,24.7435,-0.3022999999999989,
열전용설비용,공동주택 열병합 (열전용보일러),22.2741,22.2741,0.0,
열전용설비용,공동주택외 열병합(열전용보일러),24.7941,24.4918,-0.3022999999999989,
연료전지용,연료전지용,20.191300000000002,19.889300000000002,-0.3019999999999996,
특별단가(군사시설),취사용,21.7915,21.7915,0.0,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),난방용,21.758,21.758,0.0,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),업무용,23.274900000000002,22.9726,-0.30230000000000246,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),영업용1,21.251399999999997,21.251399999999997,0.0,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),"동절기(1~3,12월)",22.79,22.487699999999997,-0.30230000000000246,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),하절기(5~9월),13.541300000000001,13.3146,-0.226700000000001,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),"기타월(4,10,11월)",21.6528,21.350499999999997,-0.30230000000000246,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
특별단가(군사시설),수송용,23.156399999999998,22.854099999999995,-0.30230000000000246,개별소비세 0.7678원/mj 면제 ('17.12.28.변동)
